,,,,,,,,,,,
,,Type,Start Time (sec),End Time (sec),Duration (sec),Distance (m),Velocity (m/sec),,Thermistor Resistance (M ohm),Temperature,Voltage
,1,Fall,0:19:00,0:32:00,13,0.0005,0.0000385,,,,
,,Rise,0:36:00,0:43:00,7,0.0005,0.0000714,,,,
,2,Fall,0:45:00,0:57:00,12,0.0005,0.0000417,,,,
,,Rise,1:01:00,1:08:00,7,0.0005,0.0000714,,,,
,3,Fall,1:11,1:23:00,12,0.0005,0.0000417,,,,
,,Rise,1:30:00,1:37:00,7,0.0005,0.0000714,,,,
,4,Fall,1:41:00,1:53:00,12,0.0005,0.0000417,,,,
,,Rise,1:59:00,2:07:00,8,0.0005,0.0000625,,,,
,5,Fall,2:09:00,2:22:00,13,0.0005,0.0000385,,,,
,,Rise,2:27:00,2:35:00,8,0.0005,0.0000625,,,,
,6,Fall,2:38,2:51,13,0.0005,0.0000385,,,,
,,Rise,2:57,3:05,8,0.0005,0.0000625,,,,
,7,Fall,3:08,3:19,11,0.0005,0.0000455,,,,
,,Rise,3:25,3:33,8,0.0005,0.0000625,,,,
,8,Fall,3:35,3:46,11,0.0005,0.0000455,,,,
,,Rise,3:52,3:59,7,0.0005,0.0000714,,,,
,9,Fall,4:02,4:14,12,0.0005,0.0000417,,,,
,,Rise,4:19,4:27,8,0.0005,0.0000625,,,,
,,Fall,4:30,4:42,12,0.0005,0.0000417,,,,
,,Rise,4:47,4:55,8,0.0005,0.0000625,,,,
,,Fall,4:56,5:08,12,0.0005,0.0000417,,,,
,,Rise,5:13,5:20,7,0.0005,0.0000714,,,,
,,Fall,5:23,5:34,11,0.0005,0.0000455,,,,
,,Rise,5:39,5:46,7,0.0005,0.0000714,,,,
,,Fall,5:49,6:02,13,0.0005,0.0000385,,,,
,,Rise,6:09,6:17,8,0.0005,0.0000625,,,,
,,Fall,6:21,6:28,7,0.0005,0.0000714,,,,
,,Rise,6:46,6:48,2,0.0005,0.0002500,,,,
,,Fall,,,,,,,,,
,,Rise,,,,,,,,,
,,Fall,,,,,,,,,
,,Rise,,,,,,,,,
,,Fall,,,,,,,,,
,,Rise,,,,,,,,,
,,Fall,,,,,,,,,
,,Rise,,,,,,,,,
,,Fall,,,,,,,,,
,,Rise,,,,,,,,,
,,Fall,,,,,,,,,
