,,,,,,,,,,,
,,Type,Start Time (sec),End Time (sec),Duration (sec),Distance (m),Velocity (m/sec),Notes,Thermistor Resistance (M ohm),Temperature,Voltage
,1,Fall,20.695,35.258,14.563,0.0005,0.0000343,,2.205,21.438,500
,,Rise,43.686,48.878,5.192,0.0005,0.0000963,,,,
,2,Fall,50.713,65.844,15.131,0.0005,0.0000330,,,,
,,Rise,70.346,76.073,5.727,0.0005,0.0000873,,,,
,3,Fall,Didnt let it rise far enough,,,,,,,,
,,Rise,95.349,100.653,5.304,0.0005,0.0000943,,,,
,4,Fall,101.906,116.534,14.628,0.0005,0.0000342,,,,
,,Rise,120.31,125.821,5.511,0.0005,0.0000907,,,,
,5,Fall,127.437,141.491,14.054,0.0005,0.0000356,,,,
,,Rise,146.327,151.858,5.531,0.0005,0.0000904,,,,
,6,Fall,154.674,170.201,15.527,0.0005,0.0000322,,,,
,,Rise,174.154,179.802,5.648,0.0005,0.0000885,,,,
,7,Fall,181.284,196.362,15.078,0.0005,0.0000332,,,,
,,Rise,199.939,205.619,5.68,0.0005,0.0000880,,,,
,8,Fall,208.462,222.626,14.164,0.0005,0.0000353,,,,
,,Rise,227.761,232.671,4.91,0.0005,0.0001018,,,,
,9,Fall,234.154,250.496,16.342,0.0005,0.0000306,,,,
,,Rise,254.904,259.353,4.449,0.0005,0.0001124,,,,
,10,Fall,263.588,277.646,14.058,0.0005,0.0000356,,,,
,,Rise,282.494,287.636,5.142,0.0005,0.0000972,,,,
,11,Fall,290.297,305.136,14.839,0.0005,0.0000337,,,,
,,Rise,309.386,314.976,5.59,0.0005,0.0000894,,,,
,Reionized droplet with different charge,,,,,,,,,,
,1,Fall,366.913,383.533,16.62,0.0005,0.0000301,,,,
,,Rise,385.742,388.992,3.25,0.0005,0.0001538,"Used ""jump to time (previous frame)"" for this measurement",,,
,2,Fall,390.005,404.005,14,0.0005,0.0000357,,,,
,,Rise,405.346,411.793,6.447,0.0005,0.0000776,,,,
,3,Fall,413.472,428.178,14.706,0.0005,0.0000340,"Started using ""jump to time (previous frame)"" here",,,
,,Rise,430.535,435.438,4.903,0.0005,0.0001020,,,,
,4,Fall,436.728,452.57,15.842,0.0005,0.0000316,,,,
,,Rise,455.713,461.179,5.466,0.0005,0.0000915,,,,
,5,Fall,462.221,479.02,16.799,0.0005,0.0000298,,,,
,,Rise,480.955,486.572,5.617,0.0005,0.0000890,,,,
,6,Fall,488.353,503.935,15.582,0.0005,0.0000321,,,,
,,Rise,506.378,511.744,5.366,0.0005,0.0000932,,,,
,7,Fall,Can't see at top,,,,,,,,
,,Rise,530.027,535.698,5.671,0.0005,0.0000882,,,,
,8,Fall,538.5,554.059,15.559,0.0005,0.0000321,,,,
,,Rise,555.98,561.571,5.591,0.0005,0.0000894,,,,
,9,Fall,563.041,577.882,14.841,0.0005,0.0000337,,,,
,,Rise,581.024,586.543,5.519,0.0005,0.0000906,,,,
